183,90,187
43,68,243
68,243,23
243,23,55
23,55,75
246,55,228
55,228,173
228,173,193
173,193,26
193,26,249
26,249,38
249,38,247
91,32,223
32,223,50
223,50,158
43,1,184
1,184,23
184,23,188
23,188,43
188,43,137
43,137,197
137,197,193
197,193,106
193,106,122
106,122,216
74,82,85
82,85,97
85,97,134
97,134,32
134,32,106
32,106,193
242,3,32
3,32,223
32,223,50
223,50,58
50,58,193
58,193,192
74,82,123
82,123,197
162,87,113
87,113,23
113,23,102
23,102,105
91,68,44
68,44,158
44,158,149
158,149,199
149,199,1
162,193,228
193,228,1
228,1,34
211,68,91
68,91,28
91,28,26
28,26,36
26,36,140
197,74,221
74,221,200
242,32,223
32,223,116
223,116,238
116,238,237
238,237,137
237,137,32
137,32,158
193,228,143
228,143,238
143,238,69
238,69,78
69,78,221
78,221,250
221,250,177
167,61,35
61,35,221
35,221,23
221,23,221
23,221,68
221,68,1
68,1,59
43,14,31
14,31,44
31,44,36
44,36,193
246,146,238
146,238,163
238,163,109
163,109,186
109,186,157
188,242,75
242,75,23
75,23,214
23,214,146
214,146,155
146,155,192
155,192,140
192,140,26
140,26,193
193,228,238
228,238,135
238,135,96
135,96,188
96,188,238
188,238,135
238,135,140
32,221,42
221,42,231
42,231,54
231,54,61
54,61,68
193,228,44
228,44,246
44,246,146
246,146,74
146,74,152
74,152,244
152,244,22
244,22,143
22,143,23
143,23,170
23,170,75
170,75,23
75,23,162
23,162,110
162,110,90
214,82,193
82,193,1
193,1,175
221,3,226
3,226,249
226,249,226
242,51,223
51,223,200
223,200,26
200,26,13
26,13,11
13,11,174
162,44,76
44,76,126
76,126,23
126,23,170
23,170,75
193,192,20
192,20,141
188,246,184
246,184,91
188,91,25
91,25,223
25,223,32
223,32,193
154,23,170
23,170,75
170,75,37
75,37,135
37,135,201
135,201,88
242,200,26
200,26,13
26,13,65
13,65,26
65,26,175
221,32,223
32,223,42
223,42,204
42,204,43
204,43,68
43,68,129
68,129,244
129,244,85
